dataset,column,display_name,category,data_type,unit,description,calculation,higher_means,missing_value_meaning,include_in_explorer,used_in,notes
correlation_ready_daily_enriched.csv,low_walking_distance_day,Low Walking Distance Day,derived flag,binary,0/1,Walking/running distance below the configured threshold.,Derived during merge/enrichment.,Presence of condition,Underlying metric unavailable,yes,With-vs-without comparisons and explorer,Keep threshold definitions documented in merge.py.
correlation_ready_daily_enriched.csv,high_resting_hr_day,High Resting Hr Day,derived flag,binary,0/1,Resting heart rate above the configured threshold.,Derived during merge/enrichment.,Presence of condition,Underlying metric unavailable,yes,With-vs-without comparisons and explorer,Keep threshold definitions documented in merge.py.
correlation_ready_daily_enriched.csv,low_resting_hr_day,Low Resting Hr Day,derived flag,binary,0/1,Resting heart rate below the configured threshold.,Derived during merge/enrichment.,Presence of condition,Underlying metric unavailable,yes,With-vs-without comparisons and explorer,Keep threshold definitions documented in merge.py.
correlation_ready_daily_enriched.csv,high_workout_duration_day,High Workout Duration Day,derived flag,binary,0/1,Workout duration above the configured threshold.,Derived during merge/enrichment.,Presence of condition,Underlying metric unavailable,yes,With-vs-without comparisons and explorer,Keep threshold definitions documented in merge.py.
correlation_ready_daily_enriched.csv,low_workout_duration_day,Low Workout Duration Day,derived flag,binary,0/1,Workout duration below the configured threshold.,Derived during merge/enrichment.,Presence of condition,Underlying metric unavailable,yes,With-vs-without comparisons and explorer,Keep threshold definitions documented in merge.py.
correlation_ready_daily_enriched.csv,any_exercise_day,Any Exercise Day,derived flag,binary,0/1,Whether exercise minutes were greater than zero.,Derived during merge/enrichment.,Presence of condition,Underlying metric unavailable,yes,With-vs-without comparisons and explorer,Keep threshold definitions documented in merge.py.
correlation_ready_daily_enriched.csv,any_workout_day,Any Workout Day,derived flag,binary,0/1,Whether at least one workout was recorded.,Derived during merge/enrichment.,Presence of condition,Underlying metric unavailable,yes,With-vs-without comparisons and explorer,Keep threshold definitions documented in merge.py.
correlation_ready_daily_enriched.csv,high_hrv_day,High Hrv Day,heart,binary,0/1,Legacy threshold-based HRV indicator.,Derived from HRV using a personal threshold.,N/A,HRV unavailable,no,Deprecated,Default reports now use continuous HRV instead.
correlation_ready_daily_enriched.csv,low_hrv_day,Low Hrv Day,heart,binary,0/1,Legacy threshold-based HRV indicator.,Derived from HRV using a personal threshold.,N/A,HRV unavailable,no,Deprecated,Default reports now use continuous HRV instead.
readable_mood_factor_summaries.csv,factor,Factor Column,identifier,text,,Exact factor column.,Generated by build_readable_factor_summaries().,N/A,Statistic unavailable,no,"Summary tab, predictions, things to watch",
readable_mood_factor_summaries.csv,factor_label,Factor,label,text,,Readable factor name.,Generated by build_readable_factor_summaries().,N/A,Statistic unavailable,no,"Summary tab, predictions, things to watch",
readable_mood_factor_summaries.csv,days_with,Days With Factor,sample size,numeric,days,Paired mood days with the factor.,Generated by build_readable_factor_summaries().,N/A,Statistic unavailable,no,"Summary tab, predictions, things to watch",
readable_mood_factor_summaries.csv,average_mood_with,Average Mood With Factor,effect,numeric,mood points,Mean lowest mood with factor.,Generated by build_readable_factor_summaries().,N/A,Statistic unavailable,no,"Summary tab, predictions, things to watch",
readable_mood_factor_summaries.csv,days_without,Days Without Factor,sample size,numeric,days,Paired mood days without factor.,Generated by build_readable_factor_summaries().,N/A,Statistic unavailable,no,"Summary tab, predictions, things to watch",
readable_mood_factor_summaries.csv,average_mood_without,Average Mood Without Factor,effect,numeric,mood points,Mean lowest mood without factor.,Generated by build_readable_factor_summaries().,N/A,Statistic unavailable,no,"Summary tab, predictions, things to watch",
readable_mood_factor_summaries.csv,mood_difference,Average Mood Difference,effect,numeric,mood points,With-factor mean minus without-factor mean.,Generated by build_readable_factor_summaries().,N/A,Statistic unavailable,no,"Summary tab, predictions, things to watch",
readable_mood_factor_summaries.csv,correlation,Correlation,association,numeric,r,Factor-mood correlation.,Generated by build_readable_factor_summaries().,N/A,Statistic unavailable,no,"Summary tab, predictions, things to watch",
readable_mood_factor_summaries.csv,correlation_interpretation,Correlation Interpretation,interpretation,text,,Readable strength/direction.,Generated by build_readable_factor_summaries().,N/A,Statistic unavailable,no,"Summary tab, predictions, things to watch",
readable_mood_factor_summaries.csv,p_value,P-Value,inference,numeric,probability,Correlation p-value.,Generated by build_readable_factor_summaries().,N/A,Statistic unavailable,no,"Summary tab, predictions, things to watch",
readable_mood_factor_summaries.csv,ci_low,95% CI Lower,inference,numeric,mood points,Lower confidence-interval bound.,Generated by build_readable_factor_summaries().,N/A,Statistic unavailable,no,"Summary tab, predictions, things to watch",
readable_mood_factor_summaries.csv,ci_high,95% CI Upper,inference,numeric,mood points,Upper confidence-interval bound.,Generated by build_readable_factor_summaries().,N/A,Statistic unavailable,no,"Summary tab, predictions, things to watch",
readable_mood_factor_summaries.csv,confidence,Confidence Rating,interpretation,categorical,,"Very Low, Preliminary, Moderate, or High.",Generated by build_readable_factor_summaries().,N/A,Statistic unavailable,no,"Summary tab, predictions, things to watch",
readable_mood_factor_summaries.csv,confidence_note,Confidence Note,interpretation,text,,Guidance on caution.,Generated by build_readable_factor_summaries().,N/A,Statistic unavailable,no,"Summary tab, predictions, things to watch",
readable_mood_factor_summaries.csv,plain_language_meaning,Plain-Language Meaning,interpretation,text,,Readable effect explanation.,Generated by build_readable_factor_summaries().,N/A,Statistic unavailable,no,"Summary tab, predictions, things to watch",
readable_mood_factor_summaries.csv,correlation_meaning,Correlation Meaning,interpretation,text,,Readable correlation explanation.,Generated by build_readable_factor_summaries().,N/A,Statistic unavailable,no,"Summary tab, predictions, things to watch",
readable_mood_factor_summaries.csv,n_total,Total Paired Days,sample size,numeric,days,Total paired observations.,Generated by build_readable_factor_summaries().,N/A,Statistic unavailable,no,"Summary tab, predictions, things to watch",
what_predicts_worst_days.csv,factor,Factor Column,identifier,text,,Exact factor column.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_worst_days.csv,factor_label,Factor,label,text,,Readable factor name.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_worst_days.csv,days_with,Days With Factor,sample size,numeric,days,Paired mood days with the factor.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_worst_days.csv,average_mood_with,Average Mood With Factor,effect,numeric,mood points,Mean lowest mood with factor.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_worst_days.csv,days_without,Days Without Factor,sample size,numeric,days,Paired mood days without factor.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_worst_days.csv,average_mood_without,Average Mood Without Factor,effect,numeric,mood points,Mean lowest mood without factor.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_worst_days.csv,mood_difference,Average Mood Difference,effect,numeric,mood points,With-factor mean minus without-factor mean.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_worst_days.csv,correlation,Correlation,association,numeric,r,Factor-mood correlation.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_worst_days.csv,correlation_interpretation,Correlation Interpretation,interpretation,text,,Readable strength/direction.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_worst_days.csv,p_value,P-Value,inference,numeric,probability,Correlation p-value.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_worst_days.csv,ci_low,95% CI Lower,inference,numeric,mood points,Lower confidence-interval bound.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_worst_days.csv,ci_high,95% CI Upper,inference,numeric,mood points,Upper confidence-interval bound.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_worst_days.csv,confidence,Confidence Rating,interpretation,categorical,,"Very Low, Preliminary, Moderate, or High.",Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_worst_days.csv,confidence_note,Confidence Note,interpretation,text,,Guidance on caution.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_worst_days.csv,plain_language_meaning,Plain-Language Meaning,interpretation,text,,Readable effect explanation.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_worst_days.csv,correlation_meaning,Correlation Meaning,interpretation,text,,Readable correlation explanation.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_worst_days.csv,n_total,Total Paired Days,sample size,numeric,days,Total paired observations.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_worst_days.csv,abs_effect,Absolute Mood Effect,effect,numeric,mood points,Absolute mood difference used for ranking.,abs(mood_difference).,Larger magnitude,Mood difference unavailable,no,Prediction ranking,
what_predicts_best_days.csv,factor,Factor Column,identifier,text,,Exact factor column.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_best_days.csv,factor_label,Factor,label,text,,Readable factor name.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_best_days.csv,days_with,Days With Factor,sample size,numeric,days,Paired mood days with the factor.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_best_days.csv,average_mood_with,Average Mood With Factor,effect,numeric,mood points,Mean lowest mood with factor.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_best_days.csv,days_without,Days Without Factor,sample size,numeric,days,Paired mood days without factor.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_best_days.csv,average_mood_without,Average Mood Without Factor,effect,numeric,mood points,Mean lowest mood without factor.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_best_days.csv,mood_difference,Average Mood Difference,effect,numeric,mood points,With-factor mean minus without-factor mean.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_best_days.csv,correlation,Correlation,association,numeric,r,Factor-mood correlation.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_best_days.csv,correlation_interpretation,Correlation Interpretation,interpretation,text,,Readable strength/direction.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_best_days.csv,p_value,P-Value,inference,numeric,probability,Correlation p-value.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_best_days.csv,ci_low,95% CI Lower,inference,numeric,mood points,Lower confidence-interval bound.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_best_days.csv,ci_high,95% CI Upper,inference,numeric,mood points,Upper confidence-interval bound.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_best_days.csv,confidence,Confidence Rating,interpretation,categorical,,"Very Low, Preliminary, Moderate, or High.",Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_best_days.csv,confidence_note,Confidence Note,interpretation,text,,Guidance on caution.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_best_days.csv,plain_language_meaning,Plain-Language Meaning,interpretation,text,,Readable effect explanation.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_best_days.csv,correlation_meaning,Correlation Meaning,interpretation,text,,Readable correlation explanation.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_best_days.csv,n_total,Total Paired Days,sample size,numeric,days,Total paired observations.,Copied from readable summaries and ranked by effect size.,N/A,Statistic unavailable,no,Predictions tab and plots,
what_predicts_best_days.csv,abs_effect,Absolute Mood Effect,effect,numeric,mood points,Absolute mood difference used for ranking.,abs(mood_difference).,Larger magnitude,Mood difference unavailable,no,Prediction ranking,
recovery_effectiveness.csv,recovery_method,Recovery Method Column,identifier,text,,Exact recovery indicator.,Generated by build_recovery_effectiveness().,N/A,Statistic unavailable,no,Recovery tab and plots,"If duration score is used, values are ordinal rather than exact time."
recovery_effectiveness.csv,recovery_method_label,Recovery Method,recovery,text,,Readable recovery method.,Generated by build_recovery_effectiveness().,N/A,Statistic unavailable,no,Recovery tab and plots,"If duration score is used, values are ordinal rather than exact time."
recovery_effectiveness.csv,times_used_with_duration,Times Used With Duration,sample size,numeric,days,Uses with duration data.,Generated by build_recovery_effectiveness().,N/A,Statistic unavailable,no,Recovery tab and plots,"If duration score is used, values are ordinal rather than exact time."
recovery_effectiveness.csv,average_recovery_duration,Average Recovery Duration,effect,numeric,duration score or minutes,Mean recovery-duration outcome.,Generated by build_recovery_effectiveness().,N/A,Statistic unavailable,no,Recovery tab and plots,"If duration score is used, values are ordinal rather than exact time."
recovery_effectiveness.csv,median_recovery_duration,Median Recovery Duration,effect,numeric,duration score or minutes,Median recovery-duration outcome.,Generated by build_recovery_effectiveness().,N/A,Statistic unavailable,no,Recovery tab and plots,"If duration score is used, values are ordinal rather than exact time."
recovery_effectiveness.csv,duration_measure,Duration Measure,metadata,text,,Outcome column used.,Generated by build_recovery_effectiveness().,N/A,Statistic unavailable,no,Recovery tab and plots,"If duration score is used, values are ordinal rather than exact time."
recovery_effectiveness.csv,confidence,Confidence Rating,interpretation,categorical,,Sample-size confidence.,Generated by build_recovery_effectiveness().,N/A,Statistic unavailable,no,Recovery tab and plots,"If duration score is used, values are ordinal rather than exact time."
sleep_quality_ranges.csv,sleep_range,Sleep Range,sleep,categorical,,Sleep bucket.,"Buckets: under 6, 6-7, 7-8, 8-9, and 9+ hours.",N/A,Statistic unavailable,no,Sleep Quality tab and plots,
sleep_quality_ranges.csv,n_days,Days in Range,sample size,numeric,days,Paired days in bucket.,"Buckets: under 6, 6-7, 7-8, 8-9, and 9+ hours.",N/A,Statistic unavailable,no,Sleep Quality tab and plots,
sleep_quality_ranges.csv,average_lowest_mood,Average Lowest Mood,effect,numeric,mood points,Mean lowest mood.,"Buckets: under 6, 6-7, 7-8, 8-9, and 9+ hours.",N/A,Statistic unavailable,no,Sleep Quality tab and plots,
sleep_quality_ranges.csv,median_lowest_mood,Median Lowest Mood,effect,numeric,mood points,Median lowest mood.,"Buckets: under 6, 6-7, 7-8, 8-9, and 9+ hours.",N/A,Statistic unavailable,no,Sleep Quality tab and plots,
sleep_quality_ranges.csv,average_sleep_hours,Average Sleep Hours,sleep,numeric,hours,Mean sleep in bucket.,"Buckets: under 6, 6-7, 7-8, 8-9, and 9+ hours.",N/A,Statistic unavailable,no,Sleep Quality tab and plots,
next_day_effects.csv,predictor,Predictor Column,identifier,text,,Exact predictor.,Outcome shifted one day relative to predictors.,N/A,Statistic unavailable,no,Lagged Effects tab and things to watch,Associations do not establish causation.
next_day_effects.csv,predictor_label,Predictor,label,text,,Readable predictor.,Outcome shifted one day relative to predictors.,N/A,Statistic unavailable,no,Lagged Effects tab and things to watch,Associations do not establish causation.
next_day_effects.csv,outcome,Outcome,identifier,text,,Next-day outcome.,Outcome shifted one day relative to predictors.,N/A,Statistic unavailable,no,Lagged Effects tab and things to watch,Associations do not establish causation.
next_day_effects.csv,correlation,Next-Day Correlation,association,numeric,r,Today's predictor versus tomorrow's mood.,Outcome shifted one day relative to predictors.,N/A,Statistic unavailable,no,Lagged Effects tab and things to watch,Associations do not establish causation.
next_day_effects.csv,correlation_interpretation,Correlation Interpretation,interpretation,text,,Readable strength/direction.,Outcome shifted one day relative to predictors.,N/A,Statistic unavailable,no,Lagged Effects tab and things to watch,Associations do not establish causation.
next_day_effects.csv,p_value,P-Value,inference,numeric,probability,Correlation p-value.,Outcome shifted one day relative to predictors.,N/A,Statistic unavailable,no,Lagged Effects tab and things to watch,Associations do not establish causation.
next_day_effects.csv,n_days,Paired Days,sample size,numeric,days,Consecutive-day pairs.,Outcome shifted one day relative to predictors.,N/A,Statistic unavailable,no,Lagged Effects tab and things to watch,Associations do not establish causation.
next_day_effects.csv,confidence,Confidence Rating,interpretation,categorical,,Sample-size confidence.,Outcome shifted one day relative to predictors.,N/A,Statistic unavailable,no,Lagged Effects tab and things to watch,Associations do not establish causation.
next_day_effects.csv,plain_language_meaning,Plain-Language Meaning,interpretation,text,,Readable next-day explanation.,Outcome shifted one day relative to predictors.,N/A,Statistic unavailable,no,Lagged Effects tab and things to watch,Associations do not establish causation.
monthly_consistency.csv,month,Month,time,period,YYYY-MM,Month summarized.,Monthly grouping; months require at least 3 mood days.,N/A,Statistic unavailable,no,Consistency tab and trend plots,Newest months appear first; lower SD means greater consistency.
monthly_consistency.csv,variable,Variable Column,identifier,text,,Exact variable.,Monthly grouping; months require at least 3 mood days.,N/A,Statistic unavailable,no,Consistency tab and trend plots,Newest months appear first; lower SD means greater consistency.
monthly_consistency.csv,variable_label,Variable,label,text,,Readable variable.,Monthly grouping; months require at least 3 mood days.,N/A,Statistic unavailable,no,Consistency tab and trend plots,Newest months appear first; lower SD means greater consistency.
monthly_consistency.csv,mood_days_in_month,Mood Days in Month,sample size,numeric,days,Days with mood scores.,Monthly grouping; months require at least 3 mood days.,N/A,Statistic unavailable,no,Consistency tab and trend plots,Newest months appear first; lower SD means greater consistency.
monthly_consistency.csv,n_days,Available Days,sample size,numeric,days,Non-missing variable days.,Monthly grouping; months require at least 3 mood days.,N/A,Statistic unavailable,no,Consistency tab and trend plots,Newest months appear first; lower SD means greater consistency.
monthly_consistency.csv,mean,Monthly Mean,descriptive,numeric,variable-specific,Monthly average.,Monthly grouping; months require at least 3 mood days.,N/A,Statistic unavailable,no,Consistency tab and trend plots,Newest months appear first; lower SD means greater consistency.
monthly_consistency.csv,standard_deviation,Monthly Standard Deviation,variability,numeric,variable-specific,Within-month variability.,Monthly grouping; months require at least 3 mood days.,N/A,Statistic unavailable,no,Consistency tab and trend plots,Newest months appear first; lower SD means greater consistency.
monthly_consistency.csv,range,Monthly Range,variability,numeric,variable-specific,Maximum minus minimum.,Monthly grouping; months require at least 3 mood days.,N/A,Statistic unavailable,no,Consistency tab and trend plots,Newest months appear first; lower SD means greater consistency.
personal_baselines.csv,variable,Variable Column,identifier,text,,Exact metric.,Generated by build_personal_baselines().,N/A,Statistic unavailable,no,Personal Baselines tab and things to watch,
personal_baselines.csv,variable_label,Variable,label,text,,Readable metric.,Generated by build_personal_baselines().,N/A,Statistic unavailable,no,Personal Baselines tab and things to watch,
personal_baselines.csv,all_time_baseline,All-Time Baseline,baseline,numeric,variable-specific,Overall mean.,Generated by build_personal_baselines().,N/A,Statistic unavailable,no,Personal Baselines tab and things to watch,
personal_baselines.csv,recent_7_day_average,Recent 7-Day Average,baseline,numeric,variable-specific,Mean of 7 most recent values.,Generated by build_personal_baselines().,N/A,Statistic unavailable,no,Personal Baselines tab and things to watch,
personal_baselines.csv,difference_from_baseline,Difference From Baseline,baseline,numeric,variable-specific,Recent minus baseline.,Generated by build_personal_baselines().,N/A,Statistic unavailable,no,Personal Baselines tab and things to watch,
personal_baselines.csv,percent_difference_from_baseline,Percent Difference From Baseline,baseline,numeric,percent,Relative change.,Generated by build_personal_baselines().,N/A,Statistic unavailable,no,Personal Baselines tab and things to watch,
personal_baselines.csv,n_total_days,Total Available Days,sample size,numeric,days,Baseline sample size.,Generated by build_personal_baselines().,N/A,Statistic unavailable,no,Personal Baselines tab and things to watch,
personal_baselines.csv,n_recent_days,Recent Available Days,sample size,numeric,days,Recent sample size.,Generated by build_personal_baselines().,N/A,Statistic unavailable,no,Personal Baselines tab and things to watch,
things_to_watch.csv,category,Insight Category,interpretation,categorical,,"Association, next-day pattern, or baseline change.","Selected from strongest associations, lagged effects, and baseline changes.",N/A,Statistic unavailable,no,Things to Watch tab,
things_to_watch.csv,priority,Priority Score,ranking,numeric,relative score,Magnitude used for sorting.,"Selected from strongest associations, lagged effects, and baseline changes.",N/A,Statistic unavailable,no,Things to Watch tab,
things_to_watch.csv,headline,Headline,interpretation,text,,Short insight title.,"Selected from strongest associations, lagged effects, and baseline changes.",N/A,Statistic unavailable,no,Things to Watch tab,
things_to_watch.csv,message,Message,interpretation,text,,Plain-language insight.,"Selected from strongest associations, lagged effects, and baseline changes.",N/A,Statistic unavailable,no,Things to Watch tab,
things_to_watch.csv,confidence,Confidence Rating,interpretation,categorical,,Confidence rating.,"Selected from strongest associations, lagged effects, and baseline changes.",N/A,Statistic unavailable,no,Things to Watch tab,
filtered_correlations.csv,variable_1,Variable 1,identifier,text,,First exact variable.,Generated after excluding tautological counts and inappropriate binary-to-binary comparisons.,N/A,Statistic unavailable,no,File 4 association output,
filtered_correlations.csv,variable_2,Variable 2,identifier,text,,Second exact variable.,Generated after excluding tautological counts and inappropriate binary-to-binary comparisons.,N/A,Statistic unavailable,no,File 4 association output,
filtered_correlations.csv,variable_1_label,Variable 1 Label,label,text,,Readable first variable.,Generated after excluding tautological counts and inappropriate binary-to-binary comparisons.,N/A,Statistic unavailable,no,File 4 association output,
filtered_correlations.csv,variable_2_label,Variable 2 Label,label,text,,Readable second variable.,Generated after excluding tautological counts and inappropriate binary-to-binary comparisons.,N/A,Statistic unavailable,no,File 4 association output,
filtered_correlations.csv,variable_1_group,Variable 1 Group,metadata,categorical,,Feature group.,Generated after excluding tautological counts and inappropriate binary-to-binary comparisons.,N/A,Statistic unavailable,no,File 4 association output,
filtered_correlations.csv,variable_2_group,Variable 2 Group,metadata,categorical,,Feature group.,Generated after excluding tautological counts and inappropriate binary-to-binary comparisons.,N/A,Statistic unavailable,no,File 4 association output,
filtered_correlations.csv,correlation,Correlation,association,numeric,r,Pearson correlation.,Generated after excluding tautological counts and inappropriate binary-to-binary comparisons.,N/A,Statistic unavailable,no,File 4 association output,
filtered_correlations.csv,abs_correlation,Absolute Correlation,association,numeric,|r|,Ranking magnitude.,Generated after excluding tautological counts and inappropriate binary-to-binary comparisons.,N/A,Statistic unavailable,no,File 4 association output,
filtered_correlations.csv,p_value,P-Value,inference,numeric,probability,Correlation p-value.,Generated after excluding tautological counts and inappropriate binary-to-binary comparisons.,N/A,Statistic unavailable,no,File 4 association output,
filtered_correlations.csv,n_days,Paired Days,sample size,numeric,days,Paired observations.,Generated after excluding tautological counts and inappropriate binary-to-binary comparisons.,N/A,Statistic unavailable,no,File 4 association output,
analysis_dictionary,average_mood_difference,Average Mood Difference,interpretation,definition,,Average lowest mood with a factor minus average lowest mood without it.,Concept definition.,N/A,Not applicable,no,README and dashboard interpretation,Positive=higher mood with factor; negative=lower mood.
analysis_dictionary,correlation_coefficient,Correlation Coefficient,interpretation,definition,,Strength and direction of a linear relationship from -1 to 1.,Concept definition.,N/A,Not applicable,no,README and dashboard interpretation,Positive moves together; negative moves oppositely.
analysis_dictionary,p_value_definition,P-Value,interpretation,definition,,Statistical-test probability measure.,Concept definition.,N/A,Not applicable,no,README and dashboard interpretation,"Interpret with effect size, CI, and sample size."
analysis_dictionary,confidence_interval_definition,95% Confidence Interval,interpretation,definition,,Approximate plausible range for an estimated difference.,Concept definition.,N/A,Not applicable,no,README and dashboard interpretation,Wider intervals mean more uncertainty.
analysis_dictionary,confidence_rating_definition,Confidence Rating,interpretation,definition,,Qualitative caution rating based mainly on sample size.,Concept definition.,N/A,Not applicable,no,README and dashboard interpretation,Very Low: <10 total or smallest group <3; Preliminary: <20 or smallest group <5; Moderate: <50 or smallest group <10; otherwise High.
analysis_dictionary,standard_deviation_definition,Standard Deviation,interpretation,definition,,Spread of values around the mean.,Concept definition.,N/A,Not applicable,no,README and dashboard interpretation,Lower monthly SD means greater consistency.
analysis_dictionary,personal_baseline_definition,Personal Baseline,interpretation,definition,,The user's own long-term average.,Concept definition.,N/A,Not applicable,no,README and dashboard interpretation,Preferred over universal cutoffs for HRV and similar metrics.
analysis_dictionary,lagged_effect_definition,Lagged Effect,interpretation,definition,,Association between one day's predictor and the following day's outcome.,Concept definition.,N/A,Not applicable,no,README and dashboard interpretation,Does not establish causation.
